TYPE,N,THREADS,TIME (MICROSECONDES)
vectoriel 256,3200000,32,3661
norm,32000000,1,162988
vectoriel 128,32000000,1,65729
vectoriel 256,32000000,1,102363
norm,32000000,4,52812
norm,32000000,8,41412
norm,32000000,16,36639
norm,32000000,32,31073
vectoriel 128,32000000,4,19935
vectoriel 128,32000000,8,12332
vectoriel 128,32000000,16,15882
vectoriel 128,32000000,32,14726
vectoriel 256,32000000,4,44611
vectoriel 256,32000000,8,31216
vectoriel 256,32000000,16,33793
vectoriel 256,32000000,32,24223
norm,320000000,1,2011287
vectoriel 128,320000000,1,549687
vectoriel 256,320000000,1,885877
norm,320000000,4,357149
norm,320000000,8,278964
norm,320000000,16,252782
norm,320000000,32,249671
vectoriel 128,320000000,4,148252
vectoriel 128,320000000,8,113383
vectoriel 128,320000000,16,101473
vectoriel 128,320000000,32,101499
vectoriel 256,320000000,4,213785
vectoriel 256,320000000,8,151827
vectoriel 256,320000000,16,136869
vectoriel 256,320000000,32,136622
norm,32000,1,140
vectoriel 128,32000,1,45
vectoriel 256,32000,1,76
norm,32000,4,90
norm,32000,8,198
norm,32000,16,234
norm,32000,32,433
vectoriel 128,32000,4,122
vectoriel 128,32000,8,176
vectoriel 128,32000,16,351
vectoriel 128,32000,32,423
vectoriel 256,32000,4,87
vectoriel 256,32000,8,117
vectoriel 256,32000,16,226
vectoriel 256,32000,32,421
norm,320000,1,1272
vectoriel 128,320000,1,504
vectoriel 256,320000,1,864
norm,320000,4,508
norm,320000,8,509
norm,320000,16,520
norm,320000,32,804
vectoriel 128,320000,4,387
vectoriel 128,320000,8,254
vectoriel 128,320000,16,311
vectoriel 128,320000,32,609
vectoriel 256,320000,4,403
vectoriel 256,320000,8,468
vectoriel 256,320000,16,412
vectoriel 256,320000,32,633
norm,3200000,1,13598
vectoriel 128,3200000,1,5459
vectoriel 256,3200000,1,8499
norm,3200000,4,4993
norm,3200000,8,4407
norm,3200000,16,3667
norm,3200000,32,3851
vectoriel 128,3200000,4,3819
vectoriel 128,3200000,8,2023
vectoriel 128,3200000,16,1864
vectoriel 128,3200000,32,2291
vectoriel 256,3200000,4,3764
vectoriel 256,3200000,8,2095
vectoriel 256,3200000,16,1958
vectoriel 256,3200000,32,2146
norm,32000000,1,136758
vectoriel 128,32000000,1,60993
vectoriel 256,32000000,1,104565
norm,32000000,4,40853
norm,32000000,8,32438
norm,32000000,16,29838
norm,32000000,32,29449
vectoriel 128,32000000,4,24112
vectoriel 128,32000000,8,13286
vectoriel 128,32000000,16,11885
vectoriel 128,32000000,32,8986
vectoriel 256,32000000,4,21615
vectoriel 256,32000000,8,17532
vectoriel 256,32000000,16,15588
vectoriel 256,32000000,32,13595
norm,320000000,1,2148589
vectoriel 128,320000000,1,672502
vectoriel 256,320000000,1,1245036
norm,320000000,4,374027
norm,320000000,8,302631
norm,320000000,16,256892
norm,320000000,32,247497
vectoriel 128,320000000,4,140763
vectoriel 128,320000000,8,114294
vectoriel 128,320000000,16,97565
vectoriel 128,320000000,32,98076
vectoriel 256,320000000,4,228730
vectoriel 256,320000000,8,153877
vectoriel 256,320000000,16,140291
vectoriel 256,320000000,32,137563
norm,32000,1,124
vectoriel 128,32000,1,46
vectoriel 256,32000,1,78
norm,32000,4,86
norm,32000,8,129
norm,32000,16,199
norm,32000,32,527
vectoriel 128,32000,4,92
vectoriel 128,32000,8,123
vectoriel 128,32000,16,211
vectoriel 128,32000,32,434
vectoriel 256,32000,4,74
vectoriel 256,32000,8,122
vectoriel 256,32000,16,216
vectoriel 256,32000,32,445
norm,320000,1,1759
vectoriel 128,320000,1,609
vectoriel 256,320000,1,841
norm,320000,4,469
norm,320000,8,387
norm,320000,16,412
norm,320000,32,633
vectoriel 128,320000,4,327
vectoriel 128,320000,8,231
vectoriel 128,320000,16,272
vectoriel 128,320000,32,634
vectoriel 256,320000,4,439
vectoriel 256,320000,8,346
vectoriel 256,320000,16,404
vectoriel 256,320000,32,575
norm,3200000,1,15924
vectoriel 128,3200000,1,5592
vectoriel 256,3200000,1,10014
norm,3200000,4,6686
norm,3200000,8,4281
norm,3200000,16,3189
norm,3200000,32,3777
vectoriel 128,3200000,4,1704
vectoriel 128,3200000,8,1951
vectoriel 128,3200000,16,1569
vectoriel 128,3200000,32,1703
vectoriel 256,3200000,4,2416
vectoriel 256,3200000,8,2194
vectoriel 256,3200000,16,1886
vectoriel 256,3200000,32,2638
norm,32000000,1,153285
vectoriel 128,32000000,1,75760
vectoriel 256,32000000,1,96101
norm,32000000,4,38241
norm,32000000,8,31043
norm,32000000,16,30351
norm,32000000,32,29513
vectoriel 128,32000000,4,14201
vectoriel 128,32000000,8,11347
vectoriel 128,32000000,16,12973
vectoriel 128,32000000,32,12439
vectoriel 256,32000000,4,19965
vectoriel 256,32000000,8,17171
vectoriel 256,32000000,16,16541
vectoriel 256,32000000,32,16096
norm,320000000,1,2262047
vectoriel 128,320000000,1,651097
vectoriel 256,320000000,1,909312
norm,320000000,4,392707
norm,320000000,8,286087
norm,320000000,16,314716
norm,320000000,32,268035
vectoriel 128,320000000,4,355862
vectoriel 128,320000000,8,166696
vectoriel 128,320000000,16,124251
vectoriel 128,320000000,32,121196
vectoriel 256,320000000,4,354851
vectoriel 256,320000000,8,203100
vectoriel 256,320000000,16,152812
vectoriel 256,320000000,32,138948
norm,32000,1,131
vectoriel 128,32000,1,49
vectoriel 256,32000,1,82
norm,32000,4,125
norm,32000,8,144
norm,32000,16,251
norm,32000,32,437
vectoriel 128,32000,4,81
vectoriel 128,32000,8,111
vectoriel 128,32000,16,248
vectoriel 128,32000,32,459
vectoriel 256,32000,4,109
vectoriel 256,32000,8,171
vectoriel 256,32000,16,332
vectoriel 256,32000,32,512
norm,320000,1,1342
vectoriel 128,320000,1,510
vectoriel 256,320000,1,833
norm,320000,4,709
norm,320000,8,453
norm,320000,16,531
norm,320000,32,619
vectoriel 128,320000,4,355
vectoriel 128,320000,8,284
vectoriel 128,320000,16,319
vectoriel 128,320000,32,598
vectoriel 256,320000,4,495
vectoriel 256,320000,8,312
vectoriel 256,320000,16,362
vectoriel 256,320000,32,719
norm,3200000,1,14858
vectoriel 128,3200000,1,5214
vectoriel 256,3200000,1,9483
norm,3200000,4,6729
norm,3200000,8,3717
norm,3200000,16,3383
norm,3200000,32,4338
